company,job_title,location
CyberCoders,Data Scientist,"San Francisco, CA, US"
CircleUp,"Data Scientist, Insights","San Francisco, CA, US"
Stella.ai,"Data Scientist, Product analytics","San Francisco, CA, US"
Formation,Data Scientist - Customer Solutions,"San Francisco, CA, US"
Microsoft,Data & Applied Scientist,"San Francisco, CA, US"
"Grand Rounds, Inc.",Data Scientist,"San Francisco, CA, US"
Ivy Exec,Data Scientist - Operations,"San Francisco, CA, US"
"Marqeta, Inc",Data Scientist,"Oakland, CA, US"
Jobot,Data Scientist,"Daly City, CA, US"
EY,Data Scientist - AI,"San Francisco, CA, US"
Carbon Lighthouse,Data Scientist,"San Francisco, California"
Juvo,Data Scientist,"San Francisco, CA, US"
Ridecell,Data Scientist,"San Francisco, CA, US"
SoFi,"Director, Data Science","San Francisco, CA"
WanderJaunt,Data Scientist,"San Francisco, CA, US"
CyberCoders,"Data Scientist - Machine Learning, Hadoop, Data Mining","San Francisco, CA, US"
CyberCoders,Data Scientist,"San Francisco, CA, US"
O'Reilly Media,Data Scientist,"Oakland, CA, US"
O'Reilly Media,Data Scientist,"San Francisco, CA, US"
Glocomms,NLP Data Scientist,"San Francisco, California, United States"
Intelletec,Data Scientist,"San Francisco, CA, US"
Gap Inc.,Assistant Data Scientist (Data Engineer),"San Francisco, CA, US"
O'Reilly Media,Data Scientist,"Oakland, CA, US"
Malakye.com,Principal Data Scientist,"San Francisco, CA, US"
Mission Bio,Data Analysis Scientist II - Bioinformatics,"South San Francisco, CA, US"
Twitter,"Data Scientist, Growth","San Francisco, CA, US"
The RealReal,Data Scientist,"San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Scion Staffing,Principal Data Scientist,San Francisco Bay Area
Change Healthcare,Data Scientist,"Emeryville, CA, US"
Cambly Inc.,Data Scientist,"San Francisco, CA, US"
Adobe,Data Scientist - 3D & Immersive,"San Francisco, CA, US"
Hoodline,Data Scientist,"San Francisco, CA, US"
Genentech,"Associate Data Scientist or Data Scientist, Evidence for Access, USMA","South San Francisco, CA, US"
Youper,Data Scientist,"San Francisco, CA, US"
Automatic,Data Scientist - Automatic Labs,"San Francisco, CA, US"
StyleSeat,Data Scientist,"San Francisco, CA, US"
APN Consulting Inc.,Data Scientist,"San Francisco, CA, US"
Mode,Data Scientist,"San Francisco, California, United States"
Personal Capital,Data Scientist,"Redwood Shores, CA, US"
Invitae,Data Scientist,"San Francisco, CA, US"
Square,"Data Scientist, Operations","San Francisco, CA, US"
Grammarly,Data Scientist,"San Francisco, CA, US"
